"date_delivered_week","non_otd_perc","otd_perc"
1,7.14,92.86
2,6.36,93.64
3,11.78,88.22
4,8.31,91.69
5,5.69,94.31
6,15.34,84.66
7,6.99,93.01
8,11.36,88.64
9,10.21,89.79
10,7.64,92.36
11,11.38,88.62
12,8.19,91.81
13,10.67,89.33
14,11.79,88.21
15,9.65,90.35
16,15.16,84.84
17,15.45,84.55
18,12.77,87.23
19,8.31,91.69
20,12.71,87.29
21,12.37,87.63
22,10.27,89.73
23,10.88,89.12
24,11.02,88.98
25,9.58,90.42
26,13.87,86.13
27,10.53,89.47
28,14.30,85.70
29,8.92,91.08
30,10.51,89.49
31,8.93,91.07
32,8.71,91.29
33,13.97,86.03
34,10.66,89.34
35,7.88,92.12
36,8.07,91.93
37,5.90,94.10
38,6.79,93.21
39,8.04,91.96
40,7.12,92.88
41,8.64,91.36
42,7.36,92.64
43,6.85,93.15
44,5.95,94.05
45,9.84,90.16
46,4.52,95.48
47,5.34,94.66
48,5.13,94.87
49,9.20,90.80
50,8.05,91.95
51,9.09,90.91
52,6.98,93.02
